course_id,university,program_name,program_code,degree_level,course_code,course_name,course_name_original,credits,component,semester,description,prerequisites,assessment,academic_year,source_url,source_language,notes
749,American University of Armenia,General Education,General Education,General,CSE220,Tomorrow’s Technologies,,3.0,,,"What is technology? Why it is so crucial to constantly improve or develop new theories based on observation and apply scientific methods toward the creation of innovative products. How are scientific theories developed? Regarding the creation process, what is the role of engineers, of society and of government? In this course students will deepen their understanding of design and development of cutting-edge interdisciplinary technologies, such as quantum computers, organic displays, and artificially-grown materials. Applications of these new technologies are poised to revolutionize industries such as health care, energy use, and consumer goods. Instructor-led discussion, along with reading, written, and practical assignments, projects, and exams.",Sophomore level required,,,https://cse.aua.am/courses/,English,
750,American University of Armenia,General Education,General Education,General,CSE221,Nanotechnology: Science and Application,,3.0,,,"Nanotechnology: Science and Application is a multidisciplinary course which presents an overview of the main aspects of the emerging field of Nanotechnology. Students will become acquainted with a set of disciplines which form the scientific basis upon which Nanotechnology research and applications are developing. Students will also gain familiarity with examples of nanotechnology applications in evolved or emerging industries, such as agriculture, consumer goods, aerospace, electronics, etc. The course covers basic principles from the fields of physics, chemistry, and engineering to enable students to implement a synthesizing project. There are no prerequisites other than high-school level mathematics and physical/natural science. Instructor led lecture and discussions; assessment may include problem sets, essays, exams, and projects.",Sophomore level required,,,https://cse.aua.am/courses/,English,
751,American University of Armenia,General Education,General Education,General,CSE230,Music Technology,,3.0,,,"The course investigates properties of the rudimentary element of music – sound, by exploring musical acoustics, psychoacoustics, analog and digital audio technologies such as electroacoustics and innovative designs of audio transducers (microphones, speakers, headsets, earbuds, binaural systems), acoustical properties for musical reproduction spaces (from recording studios to concert halls and immersive audio setups), in addition to presenting digital audio workstations for audio manipulation and multimedia content creation (including commercials, films, gaming, VR, etc). Instructor led discussions and lectures, assessment by projects, homework, and exams.",Sophomore level required,,,https://cse.aua.am/courses/,English,
752,American University of Armenia,General Education,General Education,General,CSE241,Data Mining,,3.0,,,"The goal of the course is to present the basic concepts of data analytics, starting from the basics of descriptive statistics and ending with applications of data mining. Students will learn how statistics is used to model uncertainty, discover patterns in data and make actionable decisions. Basic methods of statistical inference and predictive modeling will be covered. The models and methods will be applied in different fields such as business, social sciences, health care, sports, etc. We will use analytical software to engage in statistical calculations. No prior knowledge in programming or experience with programming is necessary for the course.Not open to DS students.",Sophomore level required,,,https://cse.aua.am/courses/,English,
753,American University of Armenia,General Education,General Education,General,CSE263,Human Physiology,,3.0,,,"This course aims to build knowledge regarding the interrelationship between the nine organ systems responsible for the healthy functioning of the human body. Analysis will encompass from cells and tissues to the entire organism, underpinning the role of major structures supporting physiological processes. Important diseases will be discussed, including their causes and consequences as examples of disturbed homeostasis and dysfunction of human body systems. Instructor-led discussion, along with reading, written, and practical assignments.",Sophomore level required,,,https://cse.aua.am/courses/,English,
754,American University of Armenia,General Education,General Education,General,CSE264,The Human Brain,,3.0,,,"The course will cover an introduction to the brain anatomy and the cellular function of neurons, synapses and neurotransmitters. The work of human brain in health and in some disorders as well as the mechanisms of vision, learning, memory, feelings and emotions will be discussed.Applications of the knowledge may be relevant in a variety of realms including for marketing specialists, user interface and software developers as well as public policy makers and educators. Instructor-led discussion, along with reading, written, and practical assignments.",Sophomore level required,,,https://cse.aua.am/courses/,English,
755,American University of Armenia,General Education,General Education,General,CSE265,Genetics,,3.0,,,"An introductory course in genetics and their impact on society and life. Students will explore DNA, genes and chromosomes, classical Mendelian concepts, genetics in the real world, the ethics associated with advancing gene technology and applications, genetic diseases and genomics.",Sophomore level required,,,https://cse.aua.am/courses/,English,
756,American University of Armenia,General Education,General Education,General,CSE270,Sports Analytics,,3.0,,,"Professional sport organizations are using analytics to make better decisions on team formation, playing strategy etc. Enthusiasts use analytics to predict the outcome of a sporting event and to try to quantify reasons that lead to victory. The course will examine how different statistical and data analytics methods can be used to analyze game-day (in-play) sports data and for pre- and post-game sports performance modelling. We will focus on several team games, e.g. soccer, basketball, American football and baseball. The course will use a statistical programming language such as R and assessment may include problem sets, individual or group projects and written examinations.",Sophomore level required,,,https://cse.aua.am/courses/,English,
757,American University of Armenia,General Education,General Education,General,CSE271,Number Statistics and the Environment,,3.0,,,"The course is a practical introduction to general quantitative and statistical techniques that can be applied to geography and environmental studies. Students will learn techniques to verify quality of data, analyzing trends and tendencies, and estimating probability of outcomes. The course will also cover topics such as proposing and verifying hypotheses using numbers and statistical analysis. Each topic will begin with an introduction to a numerical or statistical concept followed by the application of that concept on a real world environmental problem. As the course progresses, students will also be introduced to software that utilizes these concepts. Problem sets and written examinations. Instructor led class time.",Sophomore level required,,,https://cse.aua.am/courses/,English,
758,American University of Armenia,General Education,General Education,General,CSE281,Design Thinking,,3.0,,,"Design Thinking is a way of approaching problems, a method used by designers for ideation and development that has a wide range of applications.",Sophomore level required,,,https://cse.aua.am/courses/,English,
759,American University of Armenia,General Education,General Education,General,CSE285,How Things Work,,3.0,,,"This course introduces students to detailed explanations behind the theory, function, and operation of selected technologies, answering the question, How does that work? This is a course in the physical and technological innovations in everyday life employing a minimum of mathematics. It explores the principles of automobiles, propulsion, digital media, cellular technologies, cyber security, nuclear and solar power generation, computer systems, etc. In-class demonstrations will aid in demystifying many topics. Lectures will look inside products from our daily lives to see what scientific principles make them work, focusing on their principles of operation, histories and relationships to one another. Students will work individually, and additionally, present to the class as a group on an emerging technology. The course will be split into three themes: The Digital World, Power and Energy, and Daily Motion. Three hours of instructor-led class time per week.",Sophomore level required,,,https://cse.aua.am/courses/,English,
760,American University of Armenia,General Education,General Education,General,CSE290,Start-up Culture,,3.0,,,"This course provides practical proven tools for transforming an idea into a product or service that creates value for people. As students acquire these tools, they will learn how to differentiate between good and bad ideas, how to build a winning strategy, how to shape a unique value proposition, design a business model, compare the innovation to existing solutions, build flexibility into a plan and determine when best to quit. This course guides students through the process of actively validating ideas in the market. Students are encouraged to identify and communicate good opportunities and to create and capture value from those. Students will receive feedback that systematically tests different parts of their business idea and develop confidence in pitching ideas to investors and customers. Instructor led discussions and lectures; assessment through projects, exams, assignments, and presentations.",Sophomore level required,,,https://cse.aua.am/courses/,English,
761,American University of Armenia,General Education,General Education,General,CSE291,Introduction to Product Design,,3.0,,,"An introduction to 3D design techniques and graphics communication tools necessary for a product design. Students learn 3D modeling, assembling, mechanism design, and simulation tools via Parametric Technology Corporation (PTC) company’s online tutorials and demonstrations. Through number of lectures they learn also basic product design communication tools – drawing standards, units, projection views, dimensioning, sections, etc. The knowledge acquired during the course will help students transform their ideas to Computer-Aided Design 3D models and drawings. Also, they will be prepared to apply these powerful design tools in further more advanced courses and their work practice. The evaluation will be done through PTC Precision Learning portal self-assessment questions, home assignments and product design project.",Sophomore level required,,,https://cse.aua.am/courses/,English,
762,American University of Armenia,General Education,General Education,General,CSE292,Building a Learning Organization,,3.0,,,"This course will introduce the underlying principles that individuals, teams and organizations can acknowledge and implement in order to achieve continuous and sustainable development. The course will use Systems Thinking and analysis of cases studies from companies worldwide to provide an understanding of events that develop or destroy companies, markets, teams and individuals. By appreciating the underlying processes that can cause success or failure, students will be equipped with tools and methods to analyze interdependencies between people, their decisions and the corresponding consequences. Instructor led lecture and discussions; assessment may include problem sets, essays, exams, and projects.",Sophomore level required,,,https://cse.aua.am/courses/,English,
763,American University of Armenia,Data Science,BSDS,Bachelor,DS110,Statistics 2,,3.0,,,"The course covers nonlinear regression models including logistic regression, regression models with categorical independent variables, interaction terms and non-linear transformations of the predictors, factorial experiments, introduction to nonparametric statistics and nonparametric hypothesis testing, Bayesian statistics: Bayesian Priors, Posteriors, and Estimators, Bayesian hypothesis testing. Instructor-led discussions and problem sets with assessment including exams, projects, and problem sets.",CS108,,,https://cse.aua.am/courses/,English,
764,American University of Armenia,Data Science,BSDS,Bachelor,DS115,Data Structures/Algorithms in Data Science,,4.0,,,"The data structures part of the course will give students the knowledge to implement their algorithms using procedural and functional programming techniques and their associated data structures, including lists, vectors, data frames, dictionaries, trees, and graphs. The part of the courses dedicated to algorithms will help students to develop the skill set to understand the problem, break it into manageable pieces, assess alternative problem-solving strategies and arrive at an algorithm that efficiently solves the given problem. Class examples and homework will help students to apply the knowledge in data science domain.","CS111, DS120",,,https://cse.aua.am/courses/,English,
765,American University of Armenia,Data Science,BSDS,Bachelor,DS116,Data Visualization,,3.0,,,"The course is about the art and science of turning raw data into readable and useful visuals. The students will learn how to choose appropriate visualizations for numeric and categorical variables, the principles of visualization for univariate and multivariate data, visualization of spatial data, text data, etc. The course also provides the foundation for grammar of graphics. The second part of the course will focus on developing visual dashboards. Assessment by problem sets, projects, and exams. Instructor led discussions.",CS108,,,https://cse.aua.am/courses/,English,
766,American University of Armenia,Data Science,BSDS,Bachelor,DS120,Programming for Data Science,,3.0,,,"The course covers fundamentals of programming for data science such as classes, methods, procedures, control structures, functions, arrays, strings, scoping. The course will emphasize the use of programming essentials for data science-related tasks, such as working with dataframes, numeric calculations with vectors and lists, etc. The course will make use of programming languages widely used in data science such as Python and R. Three hours of instructor led class time per week including discussions and problem sets.",CS110,,,https://cse.aua.am/courses/,English,
767,American University of Armenia,Data Science,BSDS,Bachelor,DS150,Physics and Chemistry in Life Science,,3.0,,,"Introductory course to the foundations of chemistry and physics. Topics in chemistry include: atoms and molecules, chemical reactions, chemical solutions, chemical bonding, etc. The course provides an overview of topics in physics that are of particular importance to the life sciences and bioinformatics, including mechanics, electricity and magnetism, heat, nuclear physics, fluids, and waves, etc. Instructor led discussions. Assessment by problems sets, projects and exams.",,,,https://cse.aua.am/courses/,English,
768,American University of Armenia,Data Science,BSDS,Bachelor,DS151,Cell and Molecular Biology,,3.0,,,"This course is aimed to provide understanding of the fundamental processes of cellular functions going on in prokaryotic and eukaryotic cells. The first part of the course focuses on the macro level with an exploration of basic cell characteristics, cellular membranes, cellular respiration and cell interaction with the environment. The second part of the course focuses on genetics with a look at chromosomes, genes, gene expression, how cells accomplish DNA replication, repair errors that can result in DNA, how cells reproduce, how cells communicate.The last part of the course explores the relationship between cancer and the immune system at the cellular level. In each topic the appropriate techniques in cell and molecular biology will be discussed",,,,https://cse.aua.am/courses/,English,
769,American University of Armenia,Data Science,BSDS,Bachelor,DS205,Database Systems,,3.0,,,"This course focuses on the design and system issues related to distributed database systems. Students will learn the usage of different design strategies for distributed databases, and they will study query processing techniques and algorithms as well as transaction management and concurrency control concepts used in such systems. Design and implementation issues related to multidatabase systems are discussed as well. The course will cover graph databases, relational and non-relational database structures. Instructor led discussion. Assessment by problem sets, exams and projects.",CS121 OR DS115,,,https://cse.aua.am/courses/,English,
770,American University of Armenia,Data Science,BSDS,Bachelor,DS206,Business Intelligence,,3.0,,,"This course provides an introduction to the concepts of business intelligence. It explores the essential components of BI project lifecycle: project planning, BI tool selection, data modelling, ETL (extract, transform, load) design, BI application/dashboard design and deployment. The course approaches BI from both managerial and technical viewpoints: the managerial perspective helps to understand how BI can support the organization’s decision-making processes, while the technical perspective explores the tools and techniques for developing for BI solutions. Learning is supported by individual and group projects, as well as assignments and case studies. Instructor-led discussions, with assessment by problem sets exams and projects.",DS205,,,https://cse.aua.am/courses/,English,
771,American University of Armenia,Data Science,BSDS,Bachelor,DS207,Time Series Forecasting,,3.0,,,"This course introduces the fundamental techniques for time series forecasting and analysis. The topics will include regression analysis, ARMA/ARIMA modelling, (G)ARCH modeling, VAR models, along with diagnostics and forecasting, and more. Mathematical formulation and assumptions underlying these statistical models, the consequence and the potential solutions when one or more of these assumptions are violated, are emphasized throughout. Students who successfully complete this course will be able to choose from available techniques to handle the real-world data, understand the trade-offs between models, and capture key patterns contained in the data. Instructor-led discussions, with assessment by problem sets exams and projects.",CS108,,,https://cse.aua.am/courses/,English,
772,American University of Armenia,Data Science,BSDS,Bachelor,DS209,Spatial Data Science,,3.0,,,"The course is an intensive introduction to spatial data science, covering topics from basic spatial data types, GIS, and coordinate systems to more advanced geostatistical, spatial machine learning, and spatial optimization methods. Having a strong applied focus, students will explore spatial data and use the methods and techniques to formulate and tackle complex real-world spatial data science problems. Students are expected to complete regular reading and coding assignments. Home tasks and assessment will include problem sets, discussion of case studies, and implementation of state-of-the-art spatial data analysis methods and algorithms from journal articles.",CS108,,,https://cse.aua.am/courses/,English,
773,American University of Armenia,Data Science,BSDS,Bachelor,DS211,Introduction to Bioinformatics,,3.0,,,"In this course, students learn fundamental concepts, methods, databases and algorithms in bioinformatics. The course covers specific tasks that can be completed using databases and algorithms. Three hours of instructor-led class time per week.",,,,https://cse.aua.am/courses/,English,
774,American University of Armenia,Data Science,BSDS,Bachelor,DS213,Computational Biology,,3.0,,,"This course focuses on the analysis of NGS and -omics datasets to study complex biological problems. The course will expand on processing the data produced by next generation sequencing (NGS) technologies, e.g. read mapping, variant calling for DNA-seq datasets, gene expression estimation from RNA-seq datasets and peak calling from ChIP-seq datasets. Case studies are explored to identify disease-linked genetic features via genome wide association studies; to identify differentially expressed genes and differentially regulated biological processes in a disease; to perform genome assembly and species annotation in metagenomic datasets; to identify evolutionary relationship between species via phylogenetic studies; to apply machine learning for single cell analysis and annotation; and to integrate multiple sources of -omics data into a single framework.","CS251, DS211",,,https://cse.aua.am/courses/,English,
775,American University of Armenia,Data Science,BSDS,Bachelor,DS215,Networks and System Biology,,3.0,,,"This course explores the nature and properties of protein-protein interaction (PPI) networks and the functions of specialized sub-networks or biological pathways. The course will introduce a short overview of small world properties of biological networks, network patterns underlying regulatory feedback loops with simple graph theory algorithms. The students will also apply simplified rule-based modeling to investigate activation or repression of biological pathways. Examples drawn from case studies will be used to elucidate differential regulation of biological pathways in a disease. Tools and solutions for PPI and pathway annotation as well as machine learning based text mining will also be discussed.",,,,https://cse.aua.am/courses/,English,
776,American University of Armenia,Data Science,BSDS,Bachelor,DS216,Cheminformatics,,3.0,,,"Cheminformatics is a field of information technology that links together chemistry and computer science. One of the major applications of cheminformatics is in drug discovery, where cheminformatics is used to store and analyze chemical data, as well as apply machine learning techniques to predict chemical properties or design new chemical motifs. This course includes topics such as molecular representation, chemical data manipulation, molecular property prediction. It also includes high level discussions on state-of-the-art methods of applying machine learning techniques for drug discovery.","CS108, DS115, DS150",,,https://cse.aua.am/courses/,English,
777,American University of Armenia,Data Science,BSDS,Bachelor,DS217,Biostatistics,,3.0,,,"The course covers development and application of statistical methods to a wide range of topics in biology. Examples will be drawn from subfields such as pharmacology, drug design, genetics, and molecular biology. The course is comprised of instructor-led lecture notes and practical exercises.",CS108,,,https://cse.aua.am/courses/,English,
778,American University of Armenia,Data Science,BSDS,Bachelor,DS219,Causal Inference,,3.0,,,"This course provides students with an introductory theory of causal inference for observational studies where randomized experiments are not possible. Topics include potential outcomes framework (matching and stratification, propensity weighting), causal graphical models, etc. Students will develop skills in implementing models using python and R to solve problems from various disciplines.",CS108,,,https://cse.aua.am/courses/,English,
779,American University of Armenia,Data Science,BSDS,Bachelor,DS221,Urban Data Science,,3.0,,,"This course provides a comprehensive introduction and overview of data science methods for informing urban planning, city management, and smart city solutions. It will cover the fundamentals of urban economic theory – mathematically exploring how cities form, grow, and function; urban mobility and transport planning and their relationship to land use; and will focus on applying spatial statistics, machine learning, spatial optimization and network theory to tackle real-world problems facing urban planners and policy makers. Such problems include to determining where in a city a new transit line should be introduced, how to plan a city to achieve equitable access to urban facilities for all citizens, how to optimally route snow cleaning and waste collection vehicles, how to predict urban mobility, and how to make use of data visualisation to build urban monitoring tools for decision makers. Home tasks and assessment include regular reading and coding assignments, as well as discuss case studies and the latest methods and algorithms.","CS108, ENGS103",,,https://cse.aua.am/courses/,English,
780,American University of Armenia,Data Science,BSDS,Bachelor,DS223,Marketing Analytics,,3.0,,,"The course concentrates on data science tools and methods that help to transform customer data into actionable findings. Topics include estimation of customer lifetime value, measuring marketing campaign ROI, new product development, advertising response models, etc. The students will learn how to define a business problem and chose appropriate data science method for it. Students are expected to have basic programming skills. Assessment by problem sets, projects, and examinations.",CS108,,,https://cse.aua.am/courses/,English,
781,American University of Armenia,Data Science,BSDS,Bachelor,DS225,Applications of Machine Learning in Science,,3.0,,,"Students will be introduced to problems from natural and applied sciences that have been solved using machine learning (ML) methods such as deep neural networks and reinforcement learning. In the first part of the course, we will have a journal club-style study of recently published papers. For example, we will study how the protein folding problem has been largely solved using transformer-based deep learning algorithms, and we will learn about novel protein design using diffusion models. In the second part of the course, students will conduct group projects where they will apply ML algorithms to address problems from natural or applied sciences.",CS251,,,https://cse.aua.am/courses/,English,
782,American University of Armenia,Data Science,BSDS,Bachelor,DS226,Bayesian Statistics,,3.0,,,"The course is an introduction to the theory of Bayesian Statistical Inference and Data Analysis. Both refer to practical inferential methods that use probability models for both observable and unobservable quantities. The flexibility and generality of these methods allow them to address complex real-life problems that are not amenable to other techniques. This course will also provide a pragmatic introduction to powerful applications of those methods. Topics include: the basics of Bayesian inference for single and multiparameter models, regression, hierarchical models, model checking, approximation of a posterior distribution by iterative and non-iterative sampling methods.",CS108,,,https://cse.aua.am/courses/,English,
783,American University of Armenia,Data Science,BSDS,Bachelor,DS227,Business Analytics for Data Science,,3.0,,,"This course will focus on business understanding and problem framing. This includes analysis of previous findings and identifying stakeholders’ challenges, understanding the components of analytics framework to compete on analytics; developing a data strategy for defining key performance metrics; introducing big data concepts and technological infrastructure for processing information; discussing innovative business models, appropriate analytical tools and necessary leadership role to implement analytics initiatives and prioritize them for budgeting, efficient resource allocation, effective creation of shared values and sustainable performance growth in a business domain.","BUS101, DS205",,,https://cse.aua.am/courses/,English,
784,American University of Armenia,Data Science,BSDS,Bachelor,DS228,Product Management,,3.0,,,"The purpose of this course is to teach the students what product management is, who are product managers and what kind of skill set one needs to have to be successful at this role. We will cover the whole product management and product development lifecycle starting from ideation, idea validation, MVP experiments and implementation, success metrics and KPI setup and follow up. Students will learn to create products or features from A to Z. Students are expected to have programming/coding skills to succeed in the course. There will be no coding sessions in this course.",,,,https://cse.aua.am/courses/,English,
785,American University of Armenia,Data Science,BSDS,Bachelor,DS229,Machine Learning Operations (MLOps),,3.0,,,"Machine learning operations (MLOps) is a core function of Machine Learning engineering, focused on streamlining the process of taking machine learning models to production, and then maintaining and monitoring them. This course will familiarize students with the key aspects of end-to-end machine learning (ML) projects and ML-specific technical depth. The main goal of the course is to teach students the core concepts, methodologies and challenges in deployment and monitoring of Machine Learning systems with a primary focus on testing and monitoring of such systems.",CS251,,,https://cse.aua.am/courses/,English,
786,American University of Armenia,Data Science,BSDS,Bachelor,DS231,Computer Vision,,3.0,,,"This course provides a comprehensive introduction to the field of computer vision, focusing on the fundamental techniques and concepts used to extract meaningful information from digital images and videos. Topics include: image formation and representation, color models, image processing techniques, edge detection, feature extraction, image segmentation, object recognition, motion analysis, 3D scene reconstruction, and deep learning for computer vision. Students will learn to apply various computer vision algorithms and techniques to real-world problems using popular programming languages and libraries. Through hands-on projects, students will develop skills in image analysis, pattern recognition, and machine learning techniques relevant to computer vision applications.",CS251,,,https://cse.aua.am/courses/,English,
787,American University of Armenia,Data Science,BSDS,Bachelor,DS232,Reinforcement Learning,,3.0,,,"Reinforcement Learning (RL) refers to a collection of machine learning techniques that solve sequential decision-making problems using a process of trial and error. It is a core area of research in artificial intelligence and machine learning. This course covers the key concepts of Reinforcement Learning, underlying classic and modern algorithms in RL. Students also will be introduced to statistical learning techniques where an agent explicitly takes actions and interacts with the world. Students will cover model-based and model-free (such as Policy Gradient, and Q-learning) algorithms.",CS251,,,https://cse.aua.am/courses/,English,
788,American University of Armenia,Data Science,BSDS,Bachelor,DS233,Natural Language Processing,,3.0,,,"The course goal is to provide a solid background in theory and techniques of Natural Language Processing for tasks such as understanding and generating natural language, machine translation, text classification, named entity recognition, topic modeling, etc. The course will focus on solving applied problems together with providing solid theoretical background.",CS251,,,https://cse.aua.am/courses/,English,
789,American University of Armenia,Data Science,BSDS,Bachelor,DS235,Generative AI,,3.0,,,"The integration of a course on Generative AI into a data science program is a strategic move to ensure that students are well-versed in the latest advancements in artificial intelligence. Generative models represent a significant leap forward in AI’s capability to create realistic text, images, and other types of data, opening up a plethora of possibilities across various industries, from healthcare and entertainment to manufacturing and beyond.",CS251,,,https://cse.aua.am/courses/,English,
790,American University of Armenia,Data Science,BSDS,Bachelor,DS244,Biomedical Imaging and Cell Staining,,3.0,,,"Students will work in groups to learn the core principles of cell and tissue staining, as well as the application of advanced biomedical imaging modalities. The latter will encompass practical instruction in capturing images through confocal microscopy, hyperspectral imaging, and atomic force microscopy. Following this, students will employ software teachniques to extract quantitative data from the images they have acquired.",,,,https://cse.aua.am/courses/,English,
791,American University of Armenia,Data Science,BSDS,Bachelor,DS250,Managerial Accounting and Analysis,,3.0,,,"The course covers business concepts and methods used to report managerial performance information to internal users and managers to assist in making sound business decisions in managing the firm. Students will also learn how to analyse the efficiency of the firm’s management using financial data and how these data can be transformed into data science problems/projects. Assessment by projects, problem sets, and exams. Instructor led discussions.",BUS101,,,https://cse.aua.am/courses/,English,
792,American University of Armenia,Data Science,BSDS,Bachelor,DS290,Special Topics in Data Science,,1.0,,,Students will apply their data science knowledge to solve a real-world problem. The specific topic area and application will be defined in the given term of implementation. Course assessment will include instructor-led projects. The number of credits is variable.,,,,https://cse.aua.am/courses/,English,
793,American University of Armenia,Data Science,BSDS,Bachelor,DS299,Capstone,,3.0,,,"Students will use their accumulative knowledge to solve real-world problems with real-world data. During the project, students will follow the entire process of solving a real-world data science project: collecting and processing actual data, applying suitable and appropriate analytic methods to the problem, presenting results and findings. Students will be provided with a list of projects to choose from; however they are also encouraged to introduce their own projects. To conclude, students will do presentation of their findings and will submit reproducible report (codes and used datasets).",,,,https://cse.aua.am/courses/,English,
794,American University of Armenia,Engineering Sciences,BSES,Bachelor,ENGS104,Probability and Statistics,,3.0,,,"The topics covered in this introductory course include: axioms of probability; conditional probability, independence; combinatorial analysis; random variables and distributions; expectation, variance, covariance; transformation of random variables; limit theorems, the law of large numbers, the central limit theorem; Markov chains; applications; statistical estimation; correlation, regression; hypothesis testing, maximum likelihood estimation, Bayesian updating; applications. Instructor-led class time including problem sets and discussions.",CS104,,,https://cse.aua.am/courses/,English,
795,American University of Armenia,Engineering Sciences,BSES,Bachelor,ENGS110,Introduction to Programming,,3.0,,,"This course covers the fundamental elements of imperative programming languages (variables, assignments, conditional statements, loops, procedures, pointers, recursion), simple data structures (lists, trees) and fundamental algorithms (searching, sorting). Instructor-led class time including problem sets and discussions.",,,,https://cse.aua.am/courses/,English,
796,American University of Armenia,Engineering Sciences,BSES,Bachelor,ENGS121,Mechanics,,3.0,,,"This course introduces students to classical mechanics. Topics include: space and time; straight-line kinematics; motion in a plane; forces and static equilibrium; Newton’s laws; particle dynamics, with force and conservation of momentum; angular motion and conservation of angular momentum; universal gravitation and planetary motion; collisions and conservation laws; work, potential energy and conservation of energy; vibrational motion; conservative forces; inertial forces and non-inertial frames; central force motions; rigid bodies and rotational dynamics. Instructor-led class time including discussions and problem sets.",CS101 or equivalent,,,https://cse.aua.am/courses/,English,
797,American University of Armenia,Engineering Sciences,BSES,Bachelor,ENGS122,Mechanics Lab,,1.0,,,Hands-on laboratory course to accompany Mechanics. Students will conduct experiments in support of the topics covered in Mechanics.,,,,https://cse.aua.am/courses/,English,
798,American University of Armenia,Engineering Sciences,BSES,Bachelor,ENGS123,Electricity and Magnetism,,3.0,,,"This course introduces students to topics related to electricity and magnetism, including Coulomb’s law, electric and magnetic fields, capacitance, electrical current and resistance, electromagnetic induction, light, waves, quantum physics, solid state physics, and semiconductors. Instructor-led class time including discussions and problem sets.",CS101 or equivalent,,,https://cse.aua.am/courses/,English,
799,American University of Armenia,Engineering Sciences,BSES,Bachelor,ENGS124,Electricity and Magnetism Lab,,1.0,,,Hands-on laboratory course to accompany Electricity and Magnetism. Students will conduct experiments in support of the topics covered in Electricity and Magnetism.,,,,https://cse.aua.am/courses/,English,
800,American University of Armenia,Engineering Sciences,BSES,Bachelor,ENGS131,Chemistry,,3.0,,,"This course introduces students to principles of chemistry. Topics include atomic theory, periodic properties, stoichiometry, nomenclature, bonding, physical properties of states of matter, solutions, kinetics, equilibrium, acid-base reactions, metathesis reactions, redox reactions, thermodynamics, electrochemistry, and chemical properties of selected classes of compounds. Instructor-led class time including discussions and problem sets.",,,,https://cse.aua.am/courses/,English,
801,American University of Armenia,Engineering Sciences,BSES,Bachelor,ENGS132,Chemistry Lab,,1.0,,,Hands-on laboratory course to accompany Chemistry. Students will conduct experiments in support of the topics covered in Chemistry.,,,,https://cse.aua.am/courses/,English,
802,American University of Armenia,Engineering Sciences,BSES,Bachelor,ENGS141,Engineering Statics,,3.0,,,"This course introduces students to fundamental engineering principles such as forces, moments, couples, resultants of force systems, equilibrium analysis and free-body diagrams, analysis of forces acting on members of trusses, frames, shear-force and bending-moment distributions, Coulomb friction, centroids and center of mass, and applications of statics in design. Instructor-led class time including problem sets and discussions.",ENGS121,,,https://cse.aua.am/courses/,English,
803,American University of Armenia,Engineering Sciences,BSES,Bachelor,ENGS142,Engineering Dynamics,,3.0,,,"This course engages students in formulating and solving problems that involve forces that act on bodies which are moving. Topics include kinematics of particles and rigid bodies, equations of motion, work-energy methods, and impulse and momentum, translating and rotating coordinate systems. Instructor-led class time including problem sets and discussions.",CS104,,,https://cse.aua.am/courses/,English,
804,American University of Armenia,Engineering Sciences,BSES,Bachelor,ENGS151,Circuits,,3.0,,,"Introductory course in fundamental electrical circuit theory as well as analog and digital signal processing methods currently used to solve a variety of engineering design problems. Circuit and system simulation analysis tools are introduced and emphasized. Topics include basic concepts of AC/DC and digital electrical circuits, power electronics, linear circuit simulation and analysis, op-amp circuits, transducers, feedback, circuit equivalents and system models, first order transients, the description of sinusoidal signals and system response, analog/digital conversion, basic digital logic gates and combinatorial circuits. Instructor-led class time including problem sets and discussions.",ENGS123,,,https://cse.aua.am/courses/,English,
805,American University of Armenia,Engineering Sciences,BSES,Bachelor,ENGS152,Circuits Lab,,1.0,,,Hands-on laboratory course to reinforce concepts covered as well as provide system-level understanding. Students will conduct experiments in support of the topics covered in Circuits.,,,,https://cse.aua.am/courses/,English,
806,American University of Armenia,Engineering Sciences,BSES,Bachelor,ENGS161,Introduction to Aerodynamics,,3.0,,,"This is an introductory course in Aerodynamics which covers advanced incompressible potential flow theory, followed by incompressible flow around thin airfoils (2D) and wings (3D). Subsequently, 1-D and 2-D compressible gas dynamics is covered, including oblique shocks and Prandtl-Meyer expansions, as well as linearized subsonic and supersonic potential flows. The course also has a brief overview of aerospace propulsion systems as it pertains to air-breathing engines. The course incorporates computational fluid dynamics and other numerical methods when applicable.","CS102, ENGS141",,,https://cse.aua.am/courses/,English,
807,American University of Armenia,Engineering Sciences,BSES,Bachelor,ENGS176,Environmental Engineering,,3.0,,,,,,,https://cse.aua.am/courses/,English,
808,American University of Armenia,Engineering Sciences,BSES,Bachelor,ENGS181,Introduction to Materials Science,,3.0,,,"In this introductory course, the students will gain fundamental knowledge about materials, their types, structures and properties. Material structure ranging from atomic scale to macroscopic scale will be discussed. The relationship between the material’s structure and the properties will be demonstrated. Properties like mechanical, optical, electrical etc. will be discussed. Most of the concepts will be discussed using real world examples, demonstrating capabilities and limitations of materials in our everyday lives. This knowledge will then be applied to material selection decisions.",,,,https://cse.aua.am/courses/,English,
809,American University of Armenia,Engineering Sciences,BSES,Bachelor,ENGS211,Numerical Methods,,3.0,,,"This course covers fundamentals of numerical methods in engineering. Topics include floating-point computation, systems of linear equations, approximation of functions and integrals, and numerical analysis and solutions of ordinary differential equations. Instructor-led class time including computational platforms, problem sets and discussions.","CS101 or equivalent, CS104 or equivalent",,,https://cse.aua.am/courses/,English,
